Date/Time,Year,Month,Day,Time,Temp (øC),Temp Flag,Dew Point Temp (øC),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
########,2017,1,1,0:00,1.5,,-3.6,,69,,26,,39,,16.1,,99.81,,,,,,NA
########,2017,1,1,1:00,1.5,,-3.9,,67,,27,,35,,16.1,,100.01,,,,,,NA
########,2017,1,1,2:00,1,,-4.3,,68,,26,,32,,16.1,,100.14,,,,,,NA
########,2017,1,1,3:00,1.2,,-4.3,,67,,26,,37,,16.1,,100.32,,,,,,NA
########,2017,1,1,4:00,1.3,,-4.4,,66,,26,,28,,16.1,,100.48,,,,,,NA
########,2017,1,1,5:00,1,,-4.1,,69,,23,,30,,16.1,,100.55,,,,,,NA
########,2017,1,1,6:00,0.7,,-4.4,,69,,24,,35,,16.1,,100.65,,,,,,NA
########,2017,1,1,7:00,0,,-4.8,,70,,24,,28,,16.1,,100.79,,,,-6,,NA
########,2017,1,1,8:00,-0.3,,-5.3,,69,,25,,26,,16.1,,100.93,,,,-6,,NA
########,2017,1,1,9:00,-0.1,,-5.5,,67,,27,,26,,16.1,,101.06,,,,-6,,NA
########,2017,1,1,10:00,1,,-5.2,,63,,25,,22,,16.1,,101.18,,,,,,NA
########,2017,1,1,11:00,1.9,,-5.3,,59,,25,,26,,16.1,,101.27,,,,,,NA
########,2017,1,1,12:00,2.6,,-5.3,,56,,23,,18,,16.1,,101.22,,,,,,NA
########,2017,1,1,13:00,2.6,,-5.8,,54,,23,,18,,16.1,,101.23,,,,,,NA
########,2017,1,1,14:00,3,,-5.5,,54,,23,,17,,16.1,,101.21,,,,,,NA
########,2017,1,1,15:00,2.9,,-5.4,,54,,23,,15,,16.1,,101.29,,,,,,NA
########,2017,1,1,16:00,2.8,,-4.9,,57,,23,,21,,16.1,,101.38,,,,,,NA
########,2017,1,1,17:00,1.8,,-4.9,,61,,22,,15,,16.1,,101.45,,,,,,NA
########,2017,1,1,18:00,2.2,,-4.6,,61,,23,,18,,16.1,,101.59,,,,,,NA
########,2017,1,1,19:00,1.2,,-3.5,,71,,25,,11,,16.1,,101.6,,,,,,NA
########,2017,1,1,20:00,1.6,,-2.2,,76,,25,,18,,16.1,,101.66,,,,,,NA
########,2017,1,1,21:00,0.7,,-3.4,,74,,24,,15,,16.1,,101.73,,,,,,NA
########,2017,1,1,22:00,0.9,,-2.9,,76,,23,,11,,16.1,,101.76,,,,,,NA
########,2017,1,1,23:00,0.6,,-3.2,,76,,22,,8,,16.1,,101.77,,,,,,NA
########,2017,1,2,0:00,0.9,,-2.6,,77,,,,0,,16.1,,101.75,,,,,,NA
########,2017,1,2,1:00,-0.5,,-2.7,,85,,3,,4,,16.1,,101.77,,,,-2,,NA
########,2017,1,2,2:00,0.7,,-1.9,,83,,5,,13,,16.1,,101.77,,,,,,NA
########,2017,1,2,3:00,0.6,,-2.6,,79,,6,,17,,16.1,,101.82,,,,,,NA
########,2017,1,2,4:00,1.2,,-2.2,,78,,6,,22,,16.1,,101.78,,,,,,NA
########,2017,1,2,5:00,1,,-1.4,,84,,6,,15,,16.1,,101.82,,,,,,NA
########,2017,1,2,6:00,2,,0.5,,90,,6,,21,,12.9,,101.77,,,,,,NA
########,2017,1,2,7:00,3,,0.2,,82,,8,,17,,16.1,,101.78,,,,,,NA
########,2017,1,2,8:00,2.7,,0.1,,83,,6,,26,,16.1,,101.81,,,,,,NA
########,2017,1,2,9:00,2.3,,0.4,,87,,5,,26,,16.1,,101.75,,,,,,NA
########,2017,1,2,10:00,2.4,,0.6,,88,,5,,32,,16.1,,101.74,,,,,,NA
########,2017,1,2,11:00,4,,1.7,,85,,6,,24,,16.1,,101.71,,,,,,NA
########,2017,1,2,12:00,4.7,,0.1,,72,,7,,28,,16.1,,101.61,,,,,,NA
########,2017,1,2,13:00,4.2,,-0.2,,73,,7,,26,,16.1,,101.54,,,,,,NA
########,2017,1,2,14:00,4.1,,0.3,,76,,7,,21,,16.1,,101.54,,,,,,NA
########,2017,1,2,15:00,4.2,,0.4,,76,,6,,30,,16.1,,101.55,,,,,,NA
########,2017,1,2,16:00,3.8,,0.5,,79,,7,,28,,16.1,,101.44,,,,,,NA
########,2017,1,2,17:00,3.9,,0.6,,79,,8,,28,,16.1,,101.39,,,,,,NA
########,2017,1,2,18:00,3.9,,0.9,,81,,7,,21,,16.1,,101.42,,,,,,NA
########,2017,1,2,19:00,3.9,,1.5,,84,,7,,22,,16.1,,101.33,,,,,,NA
########,2017,1,2,20:00,4,,2.2,,88,,8,,17,,16.1,,101.12,,,,,,NA
########,2017,1,2,21:00,4.1,,2.3,,88,,8,,13,,16.1,,101.1,,,,,,NA
