"","Primary_Key","temp","weather_type","Direction","avg_travel_time","avg_speed","no_of_streetcars","avg_delay","no_of_delays","weekday","time_of_day","pilot_nonpilot","weekday_c","time_of_day_c","weather_type_c","pilot_nonpilot_bi"
"25","2017-01-02 00:00",0.9,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","LATE (11pm-2am)","Non Pilot",2,4,13,1
"26","2017-01-02 01:00",-0.5,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","LATE (11pm-2am)","Non Pilot",2,4,13,1
"27","2017-01-02 02:00",0.7,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","LATE (11pm-2am)","Non Pilot",2,4,13,1
"28","2017-01-02 03:00",0.6,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","EARLY(3AM - 6AM)","Non Pilot",2,2,13,1
"29","2017-01-02 04:00",1.2,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","EARLY(3AM - 6AM)","Non Pilot",2,2,13,1
"30","2017-01-02 05:00",1,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","EARLY(3AM - 6AM)","Non Pilot",2,2,13,1
"31","2017-01-02 06:00",2,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","EARLY(3AM - 6AM)","Non Pilot",2,2,13,1
"32","2017-01-02 07:00",3,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","AM (7am-10am)","Non Pilot",2,1,13,1
"33","2017-01-02 08:00",2.7,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","AM (7am-10am)","Non Pilot",2,1,13,1
"34","2017-01-02 09:00",2.3,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","AM (7am-10am)","Non Pilot",2,1,13,1
"35","2017-01-02 10:00",2.4,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","AM (7am-10am)","Non Pilot",2,1,13,1
"36","2017-01-02 11:00",4,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","MID (11am-3pm)","Non Pilot",2,5,13,1
"37","2017-01-02 12:00",4.7,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","MID (11am-3pm)","Non Pilot",2,5,13,1
"38","2017-01-02 13:00",4.2,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","MID (11am-3pm)","Non Pilot",2,5,13,1
"39","2017-01-02 14:00",4.1,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","MID (11am-3pm)","Non Pilot",2,5,13,1
"40","2017-01-02 15:00",4.2,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","MID (11am-3pm)","Non Pilot",2,5,13,1
"41","2017-01-02 16:00",3.8,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","PM (4pm-7pm)","Non Pilot",2,6,13,1
"42","2017-01-02 17:00",3.9,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","PM (4pm-7pm)","Non Pilot",2,6,13,1
"43","2017-01-02 18:00",3.9,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","PM (4pm-7pm)","Non Pilot",2,6,13,1
"44","2017-01-02 19:00",3.9,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","EVENING (8pm-10pm)","Non Pilot",2,3,13,1
"45","2017-01-02 20:00",4,"Sunny/Overcast",NA,NA,NA,NA,NA,NA,"Monday","EVENING (8pm-10pm)","Non Pilot",2,3,13,1
